vehicle_id,vehicle_label,stop_status,stop_sequence,direction_id,latitude,longitude,bearing,speed,timestamp,trip_id,trip_short_name,bikes_allowed,headsign,stop,stop_name,route_id,parent_station
G-10029,3846-3692,STOPPED_AT,90,1,42.35013,-71.13158,45,6.0,2023-04-27 15:26:59-04:00,55713574,,2.0,Government Center,70130,Harvard Avenue,Green-B,place-harvd
G-10097,3263,STOPPED_AT,8,0,42.26764,-71.09216,270,6.0,2023-04-27 15:27:35-04:00,55484026,,2.0,Mattapan,70275,Mattapan,Mattapan,place-matt
G-10068,3234,INCOMING_AT,7,1,42.27473,-71.05921,45,3.8,2023-04-27 15:27:47-04:00,55483982,,2.0,Ashmont,70264,Cedar Grove,Mattapan,place-cedgr
G-10025,3863-3698,INCOMING_AT,710,1,42.40778,-71.11682,331,5.5,2023-04-27 15:27:48-04:00,55714177,,2.0,Medford/Tufts,70511,Medford/Tufts,Green-E,place-mdftf
G-10112,3828-3709,INCOMING_AT,510,1,42.33754,-71.09596,45,1.7,2023-04-27 15:27:27-04:00,55714180,,2.0,Medford/Tufts,70246,Museum of Fine Arts,Green-E,place-mfa
G-10098,3660-3815,STOPPED_AT,170,1,42.34918,-71.10006,135,4.2,2023-04-27 15:27:40-04:00,ADDED-1581508233,,0.0,Government Center,70148,Blandford Street,Green-B,place-bland
G-10077,3687-3866,STOPPED_AT,610,1,42.35927,-71.05945,35,,2023-04-27 15:27:40-04:00,55714448,,2.0,Government Center,70201,Government Center,Green-C,place-gover
G-10238,3888-3836,STOPPED_AT,660,1,42.37705,-71.09396,120,,2023-04-27 15:26:45-04:00,ADDED-1581508196,,0.0,Union Square,,,Green-D,
G-10235,3826-3611,IN_TRANSIT_TO,100,0,42.35305,-71.06457,200,,2023-04-27 15:27:18-04:00,ADDED-1581508232,,0.0,Heath Street,70157,Arlington,Green-E,place-armnl
G-10064,3621-3851,INCOMING_AT,570,1,42.34788,-71.08627,105,,2023-04-27 15:26:07-04:00,55713555,,2.0,Government Center,70154,Copley,Green-B,place-coecl
G-10225,3917-3916,STOPPED_AT,560,0,42.33289,-71.24327,315,5.5,2023-04-27 15:27:27-04:00,55713746,,2.0,Riverside,70163,Woodland,Green-D,place-woodl
G-10149,3912-3908,INCOMING_AT,520,0,42.33017,-71.18453,315,17.5,2023-04-27 15:27:45-04:00,55713754,,2.0,Riverside,70171,Newton Centre,Green-D,place-newto
G-10246,3861-3662,STOPPED_AT,90,0,42.35356,-71.06432,200,,2023-04-27 15:27:42-04:00,55714025,,2.0,Riverside,70159,Boylston,Green-D,place-boyls
G-10014,3859-3809,IN_TRANSIT_TO,70,0,42.35929,-71.05951,215,,2023-04-27 15:27:44-04:00,ADDED-1581508250,,0.0,Cleveland Circle,70197,Park Street,Green-C,place-pktrm
G-10199,3676-3844,STOPPED_AT,640,0,42.33362,-71.10595,225,3.4,2023-04-27 15:27:49-04:00,55714303,,2.0,Heath Street,70251,Fenwood Road,Green-E,place-fenwd
G-10216,3890-3671,INCOMING_AT,640,1,42.36609,-71.06298,230,,2023-04-27 15:27:27-04:00,ADDED-1581508240,,0.0,Union Square,70207,Science Park/West End,Green-D,place-spmnl
G-10233,3922-3915,STOPPED_AT,30,1,42.34065,-71.15089,45,4.6,2023-04-27 15:27:32-04:00,55713586,,2.0,Government Center,70114,Chiswick Road,Green-B,place-chswk
G-10247,3677-3865,INCOMING_AT,470,0,42.33754,-71.11207,225,16.9,2023-04-27 15:27:46-04:00,55714023,,2.0,Riverside,70181,Brookline Village,Green-D,place-bvmnl
G-10115,3855-3644,INCOMING_AT,410,0,42.33869,-71.13786,225,8.7,2023-04-27 15:27:45-04:00,55714562,,2.0,Cleveland Circle,70231,Tappan Street,Green-C,place-tapst
G-10027,3852-3634,STOPPED_AT,1,1,42.34018,-71.16709,135,,2023-04-27 15:26:54-04:00,ADDED-1581508259,,,,70106,Boston College,Green-B,place-lake
G-10004,3853-3712,STOPPED_AT,190,1,42.33695,-71.14559,45,5.6,2023-04-27 15:27:18-04:00,55714451,,2.0,Government Center,70236,Englewood Avenue,Green-C,place-engav
G-10057,3713-3834,STOPPED_AT,710,1,42.40839,-71.1173,331,,2023-04-27 15:27:49-04:00,55714176,,2.0,Medford/Tufts,70511,Medford/Tufts,Green-E,place-mdftf
G-10111,3702-3883,INCOMING_AT,430,1,42.3426,-71.10871,45,9.9,2023-04-27 15:27:44-04:00,55713995,,2.0,Union Square,70186,Fenway,Green-D,place-fenwy
G-10063,3087,IN_TRANSIT_TO,3,0,42.27679,-71.05916,180,10.0,2023-04-27 15:27:46-04:00,55484027,,2.0,Mattapan,70265,Butler,Mattapan,place-butlr
G-10002,3691-3833,INCOMING_AT,220,0,42.35061,-71.1287,270,11.2,2023-04-27 15:27:50-04:00,55713655,,2.0,Boston College,70131,Harvard Avenue,Green-B,place-harvd
G-10089,3685-3872,STOPPED_AT,6,0,42.37116,-71.07613,125,7.1,2023-04-27 15:27:01-04:00,55714307,,2.0,Heath Street,70502,Lechmere,Green-E,place-lech
G-10213,3688-3856,STOPPED_AT,570,1,42.34977,-71.07825,60,,2023-04-27 15:26:56-04:00,ADDED-1581508223,,0.0,Union Square,70154,Copley,Green-D,place-coecl
G-10197,3805-3640,INCOMING_AT,470,1,42.3329,-71.1105,45,6.4,2023-04-27 15:27:48-04:00,55714183,,2.0,Medford/Tufts,70254,Mission Park,Green-E,place-mispk
G-10164,3600-3891,STOPPED_AT,420,0,42.33787,-71.14145,225,,2023-04-27 15:27:40-04:00,55714561,,2.0,Cleveland Circle,70233,Dean Road,Green-C,place-denrd
G-10107,3618-3801,INCOMING_AT,630,1,42.36543,-71.06039,315,,2023-04-27 15:27:45-04:00,55714178,,2.0,Medford/Tufts,70205,North Station,Green-E,place-north
G-10232,3920,INCOMING_AT,620,1,42.35986,-71.05891,35,,2023-04-27 15:26:59-04:00,ADDED-1581508219,,0.0,Union Square,70203,Haymarket,Green-D,place-haecl
G-10220,3696-3892,STOPPED_AT,2,0,42.40031,-71.1114,151,9.0,2023-04-27 15:27:13-04:00,55714308,,2.0,Heath Street,70510,Ball Square,Green-E,place-balsq
G-10237,3642-3842,INCOMING_AT,370,1,42.32665,-71.16579,90,11.9,2023-04-27 15:27:43-04:00,ADDED-1581508247,,0.0,Union Square,70172,Chestnut Hill,Green-D,place-chhil
G-10018,3620-3880,STOPPED_AT,500,1,42.33613,-71.09959,45,4.9,2023-04-27 15:27:41-04:00,ADDED-1581508241,,0.0,Medford/Tufts,70248,Longwood Medical Area,Green-E,place-lngmd
G-10125,3268,INCOMING_AT,2,1,42.26777,-71.08823,90,9.3,2023-04-27 15:27:45-04:00,55483983,,2.0,Ashmont,70274,Capen Street,Mattapan,place-capst
G-10083,3652-3864,STOPPED_AT,350,0,42.34341,-71.11665,225,5.5,2023-04-27 15:27:16-04:00,55714563,,2.0,Cleveland Circle,70217,Saint Paul Street,Green-C,place-stpul
G-10109,3811-3663,INCOMING_AT,270,1,42.3422,-71.12092,45,6.0,2023-04-27 15:27:50-04:00,55714450,,2.0,Government Center,70218,Saint Paul Street,Green-C,place-stpul
G-10074,3850-3706,STOPPED_AT,600,1,42.35551,-71.06316,30,,2023-04-27 15:26:11-04:00,55713551,,2.0,Government Center,70200,Park Street,Green-B,place-pktrm
G-10003,3617-3869,STOPPED_AT,290,0,42.33847,-71.15282,225,,2023-04-27 15:27:31-04:00,55713654,,2.0,Boston College,70113,Chestnut Hill Avenue,Green-B,place-chill
G-10040,3656-3874,IN_TRANSIT_TO,310,0,42.34008,-71.16083,270,6.3,2023-04-27 15:27:49-04:00,55713653,,2.0,Boston College,70107,Boston College,Green-B,place-lake
G-10087,3848-3633,INCOMING_AT,175,0,42.35034,-71.10918,315,4.7,2023-04-27 15:27:49-04:00,55713657,,2.0,Boston College,170141,Amory Street,Green-B,place-amory
G-10214,3701-3885,STOPPED_AT,590,1,42.35245,-71.06483,20,,2023-04-27 15:27:21-04:00,55714179,,2.0,Medford/Tufts,70158,Boylston,Green-E,place-boyls
G-10059,3849-3607,STOPPED_AT,1,1,42.32825,-71.11032,45,1.8,2023-04-27 15:25:32-04:00,55714184,,2.0,Medford/Tufts,70260,Heath Street,Green-E,place-hsmnl
G-10249,3684-3819,INCOMING_AT,110,0,42.35164,-71.07172,240,,2023-04-27 15:27:17-04:00,55714024,,2.0,Riverside,70155,Copley,Green-D,place-coecl
G-10090,3674-3827,INCOMING_AT,570,1,42.34788,-71.08627,105,,2023-04-27 15:26:50-04:00,ADDED-1581508243,,0.0,Government Center,70154,Copley,Green-C,place-coecl
G-10256,3870,INCOMING_AT,10,0,42.36705,-71.06847,125,5.5,2023-04-27 15:26:18-04:00,ADDED-1581508257,,0.0,Riverside,70208,Science Park/West End,Green-D,place-spmnl
G-10053,3816-3646,INCOMING_AT,120,0,42.34996,-71.07792,240,,2023-04-27 15:27:12-04:00,ADDED-1581508252,,0.0,Cleveland Circle,70153,Hynes Convention Center,Green-C,place-hymnl
G-10121,3877-3610,STOPPED_AT,570,0,42.33723,-71.25208,315,4.5,2023-04-27 15:23:40-04:00,55713742,,2.0,Riverside,70161,Riverside,Green-D,place-river
G-10050,3655-3884,IN_TRANSIT_TO,350,1,42.31852,-71.21569,135,10.0,2023-04-27 15:27:48-04:00,55713997,,2.0,Union Square,70168,Newton Highlands,Green-D,place-newtn
G-10131,3806-3651,INCOMING_AT,500,0,42.33536,-71.14665,270,5.1,2023-04-27 15:27:44-04:00,55713758,,2.0,Riverside,70175,Reservoir,Green-D,place-rsmnl
G-10253,3643-3868,STOPPED_AT,620,1,42.36242,-71.05803,355,,2023-04-27 15:27:17-04:00,55713994,,2.0,Union Square,70203,Haymarket,Green-D,place-haecl
G-10015,3821-3631,STOPPED_AT,135,1,42.35097,-71.11483,135,5.2,2023-04-27 15:26:56-04:00,55713571,,2.0,Government Center,170140,Amory Street,Green-B,place-amory
G-10007,3889-3716,STOPPED_AT,175,0,42.35101,-71.11478,315,6.6,2023-04-27 15:27:04-04:00,55713656,,2.0,Boston College,170141,Amory Street,Green-B,place-amory
G-10155,3843-3605,INCOMING_AT,30,0,42.36427,-71.05936,135,,2023-04-27 15:27:50-04:00,55714306,,2.0,Heath Street,70204,Haymarket,Green-E,place-haecl
G-10006,3857-3639,STOPPED_AT,100,0,42.35188,-71.07085,240,,2023-04-27 15:27:35-04:00,ADDED-1581508254,,0.0,Boston College,70157,Arlington,Green-B,place-armnl
G-10251,3625-3627,INCOMING_AT,20,0,42.36633,-71.0669,120,6.0,2023-04-27 15:27:00-04:00,55714026,,2.0,Riverside,70206,North Station,Green-D,place-north
G-10073,3718-3840,INCOMING_AT,610,0,42.33915,-71.09199,225,4.8,2023-04-27 15:27:46-04:00,55714304,,2.0,Heath Street,70245,Museum of Fine Arts,Green-E,place-mfa
B-547656F2,0743,STOPPED_AT,110,1,42.4135,-70.99162,20,,2023-04-27 15:26:39-04:00,55458814-19:45-GovernmentCenterWonderlandSuspend,,0,Wonderland,70060,Wonderland,Blue,place-wondl
R-547651F7,1885,IN_TRANSIT_TO,170,1,42.36147,-71.07437,275,,2023-04-27 15:27:27-04:00,ADDED-1581508213,,0,Alewife,70072,Kendall/MIT,Red,place-knncl
R-54764B51,1904,STOPPED_AT,40,0,42.36553,-71.10403,130,,2023-04-27 15:25:46-04:00,ADDED-1581508235,,0,Braintree,70069,Central,Red,place-cntsq
O-54764C31,1414,STOPPED_AT,170,0,42.31678,-71.10459,205,,2023-04-27 15:27:42-04:00,56494374,,0,Forest Hills,70004,Stony Brook,Orange,place-sbmnl
O-54765707,1436,INCOMING_AT,180,1,42.42273,-71.07593,20,,2023-04-27 15:27:50-04:00,56494278,,0,Oak Grove,70035,Malden Center,Orange,place-mlmnl
O-547656EE,1416,STOPPED_AT,120,0,42.34767,-71.07464,265,,2023-04-27 15:27:39-04:00,56494375,,0,Forest Hills,70014,Back Bay,Orange,place-bbsta
B-5476571C,0771,IN_TRANSIT_TO,1,1,42.36116,-71.06282,105,,2023-04-27 15:27:42-04:00,55458818-19:45-GovernmentCenterWonderlandSuspend,,0,Wonderland,70038,Bowdoin,Blue,place-bomnl
O-547644BC,1468,IN_TRANSIT_TO,150,1,42.37898,-71.07633,340,,2023-04-27 15:27:35-04:00,56494280,,0,Oak Grove,70031,Sullivan Square,Orange,place-sull
O-54764EBA,1428,INCOMING_AT,30,1,42.31828,-71.10367,30,,2023-04-27 15:27:05-04:00,56494282,,0,Oak Grove,70007,Jackson Square,Orange,place-jaksn
B-547658FE,0765,IN_TRANSIT_TO,80,1,42.38734,-71.0033,55,,2023-04-27 15:27:51-04:00,55458815-19:45-GovernmentCenterWonderlandSuspend,,0,Wonderland,70054,Suffolk Downs,Blue,place-sdmnl
R-5476570B,1507,STOPPED_AT,190,1,42.37432,-71.1186,350,,2023-04-27 15:26:34-04:00,ADDED-1581508208,,0,Alewife,70068,Harvard,Red,place-harsq
B-54765720,0759,IN_TRANSIT_TO,80,0,42.3683,-71.0403,215,,2023-04-27 15:27:36-04:00,ADDED-1581508248,,0,Bowdoin,70043,Aquarium,Blue,place-aqucl
R-547651F2,1827,IN_TRANSIT_TO,100,0,42.34759,-71.05417,210,,2023-04-27 15:27:25-04:00,ADDED-1581508226,,0,Ashmont,70081,Broadway,Red,place-brdwy
R-54764C97,1807,STOPPED_AT,50,1,42.28458,-71.06377,330,,2023-04-27 15:17:26-04:00,ADDED-1581508238,,0,Alewife,70094,Ashmont,Red,place-asmnl
B-5476590D,0775,IN_TRANSIT_TO,50,1,42.37185,-71.03648,45,,2023-04-27 15:27:51-04:00,55458817-19:45-GovernmentCenterWonderlandSuspend,,0,Wonderland,70048,Airport,Blue,place-aport
O-54765866,1476,IN_TRANSIT_TO,20,0,42.41595,-71.077,177,,2023-04-27 15:27:36-04:00,56494377,,0,Forest Hills,70032,Wellington,Orange,place-welln
B-54765917,0784,INCOMING_AT,90,0,42.35937,-71.05298,260,,2023-04-27 15:27:32-04:00,55458942-19:45-GovernmentCenterWonderlandSuspend,,0,Bowdoin,70041,State,Blue,place-state
R-547656F4,1702,IN_TRANSIT_TO,80,1,42.3028,-71.05578,5,,2023-04-27 15:27:22-04:00,ADDED-1581508237,,0,Alewife,70088,Savin Hill,Red,place-shmnl
B-54765710,0710,STOPPED_AT,60,1,42.37968,-71.02276,65,,2023-04-27 15:26:20-04:00,55458816-19:45-GovernmentCenterWonderlandSuspend,,0,Wonderland,70050,Wood Island,Blue,place-wimnl
